Set,perm,Stimulus,Response,Outcome
A,1,strawberry,R,coconut
A,1,lemon,L,pear
A,1,grape,R,pineapple
A,1,kiwi,L,cherry
A,1,melon,R,banana
A,1,orange,L,apple
A,2,strawberry,R,apple
A,2,lemon,L,banana
A,2,grape,R,pear
A,2,kiwi,L,coconut
A,2,melon,R,cherry
A,2,orange,L,pineapple
A,3,strawberry,R,pineapple
A,3,lemon,L,cherry
A,3,grape,R,banana
A,3,kiwi,L,apple
A,3,melon,R,coconut
A,3,orange,L,pear
A,4,strawberry,R,pear
A,4,lemon,L,coconut
A,4,grape,R,cherry
A,4,kiwi,L,pineapple
A,4,melon,R,apple
A,4,orange,L,banana
A,5,strawberry,R,banana
A,5,lemon,L,apple
A,5,grape,R,coconut
A,5,kiwi,L,pear
A,5,melon,R,pineapple
A,5,orange,L,cherry
A,6,strawberry,R,cherry
A,6,lemon,L,pineapple
A,6,grape,R,apple
A,6,kiwi,L,banana
A,6,melon,R,pear
A,6,orange,L,coconut
